id,name,nodeType,region,membership,roleType,ratifiedOn,reviewDate,fullName,status,website,themes,purpose
vale-da-lama,Quinta Vale da Lama,Project,Odiaxere,barlavento-eco,,,,,,valedalama.net,Agroforestry; Market garden; Agrotourism; Education,"43-ha regenerative farm improving soil, water, biodiversity and livelihoods via regen agriculture and ecosystem restoration."
mud-valley,Mud Valley Foundation,Convener,Odiaxere,barlavento-eco,,,,,,mudvalley.org,Education & Training; Research; Grantmaking,"Regenerative education, research and grantmaking nonprofit near Lagos; convenes the bioregional network."
vinha-velha,Vinha Velha,Project,Barão de São João,barlavento-eco,,,,,,vinhavelha.com,Organic farming; Regenerative living; Agrotourism,"2nd-generation organic farm dedicated to regenerative living, with accommodation and activities."
apv,African Peace Village,Project,Burgau,barlavento-eco,,,,,,africanway.world,Water-cycle restoration; Ecological building; Agriculture; Youth entrepreneurship,"Center linking Africa and the world through watershed regeneration, ecological building and youth entrepreneurship."
rnf,Restore Nature Foundation & Collective,Network,,barlavento-eco,,,,,,restorenaturecollective.com,Agroforestry; Water management; Soil; Landscape regeneration; Consultancy,"Holistic landscape-regeneration collective offering agroforestry, water and soil services."
corte-medronheira,Corte Medronheira,Project,Bensafrim,barlavento-eco,,,,,,,Water retention; Agroforestry; Reforestation; Rewilding,36-ha cork-oak and strawberry-tree land; an extended family practising immersive regenerative living.
machada,Santuário de Machada,Project,Bensafrim,barlavento-eco,,,,,,,Waterline restoration; Agroforestry; Reforestation,13-ha wild cork-oak and medronho forest; ecological and hydrological regeneration in the Ribeira de Bensafrim catchment.
tres-figos,Quinta dos Três Figos,Project,Marmelete,barlavento-eco,,,,,,,Organic farming; Orchard; Water (dam); Ecosystem regeneration,"Organic farm with a rainwater dam (2018), a 4-ha fruit orchard and 16 ha of ecosystem regeneration."
jasmim,Quinta do Jasmim,Project,Bensafrim,barlavento-eco,,,,,,mamaseednaturals.com,Medicinal garden; Apothecary; Education; Biodiversity,Educative and productive medicine garden and apothecary with herbal workshops for children and adults.
zambujeira,Zambujeira de Fora (RNF),Project,Barão de São João,barlavento-eco,,,,,,,Successional agroforestry; Plant diversity,Family project: experimental successional agroforestry increasing plant diversity and density.
horizonte,Quinta do Horizonte (RNF),Project,Pedralva,barlavento-eco,,,,,,revive.land,Water retention; Syntropic agroforestry; Compost & biostimulants; Soil biology; Training,"Water-soil-plant regeneration site with a soil-microbiology lab, compost/biostimulant production, consultancy and training."
lagos-mais-verde,Lagos Mais Verde,Initiative,Lagos,barlavento-eco,,,,,,lagosmaisverde.org,Urban greening; Civic engagement,Lagos urban-greening and civic engagement initiative.
bravura,Eco-Aldeia da Bravura,Project,Lagos & Monchique,barlavento-eco,,,,,,,Ecovillage,Ecovillage project near the Bravura reservoir (Lagos / Monchique).
mata-viva,Mata Viva,Initiative,Barão de São João,barlavento-eco,,,,,,,Post-fire restoration; Reforestation; Native biodiversity; Education & arts; Community mobilization,"Volunteer movement for participative post-fire restoration in the Barão de São João public forest, with ecological, educational and artistic actions."
